Won,HomeCourt,HomePointDiff,HomeFT,Home2pt,Home3pt,Def2pt,Def3pt,AwayPointDiff,AwayFT,Away2pt,Away3pt,OppDef2pt,OppDef3pt
1,1,-1,20,66,31,557,343,-8,19,55,35,564,372
1,1,5,18,65,34,509,350,0,17,62,35,541,350
0,1,-7,17,62,33,563,359,6,19,54,46,537,355
0,1,3,20,58,36,534,340,0,20,59,32,576,367
1,1,-0,17,62,35,542,351,0,18,54,37,553,364
1,1,-9,16,64,33,571,399,3,16,61,37,506,365
0,1,-1,18,54,37,542,338,4,20,56,38,549,342
1,1,1,17,54,42,516,346,0,21,59,32,574,365
1,1,4,17,63,37,564,350,1,20,56,38,544,361
0,1,-1,20,66,31,556,344,3,20,59,41,561,362
1,1,4,17,63,37,564,349,-0,19,63,34,531,375
1,1,1,18,62,36,535,355,-1,19,54,43,532,370
1,1,1,19,56,43,551,351,-1,18,54,37,543,340
0,1,0,20,49,44,556,355,-0,17,62,35,542,349
0,1,3,20,58,36,533,339,-2,18,61,33,521,360
0,1,4,20,63,34,566,337,0,18,54,36,556,367
1,1,6,18,65,35,509,349,5,19,59,34,529,366
0,1,-8,19,56,35,566,372,-7,18,61,33,562,361
1,1,6,19,53,47,535,357,-0,16,52,49,544,362
1,1,-0,19,63,34,532,375,0,21,59,32,574,368
1,1,-0,17,62,35,544,350,3,16,61,36,505,361
0,1,-7,21,56,35,575,358,-1,18,63,33,559,369
0,1,0,20,56,38,545,361,4,20,56,38,550,342
1,1,4,17,63,37,565,350,-1,19,54,42,533,371
0,1,1,19,56,43,548,353,3,16,61,36,505,362
0,1,4,19,58,34,529,366,-0,16,52,49,542,361
1,1,0,20,49,44,557,358,1,18,55,36,554,368
0,1,-9,16,64,32,570,393,-1,18,54,37,542,345
1,1,-1,20,66,31,557,343,6,18,65,35,510,351
1,1,-0,17,62,35,544,351,3,20,59,35,532,340
1,1,3,20,59,41,561,362,1,18,62,36,533,355
1,1,-4,20,59,32,573,337,3,20,63,34,568,337
1,1,4,19,58,34,527,369,1,17,54,42,516,347
1,1,-0,19,63,34,532,378,-8,19,56,35,568,369
0,1,3,20,59,41,561,362,4,20,56,38,548,340
1,1,-1,18,61,33,520,358,-3,20,58,32,572,336
0,1,0,17,62,35,545,352,-7,18,62,33,563,360
1,1,0,17,62,35,546,352,-2,19,54,42,536,374
0,1,0,21,59,33,574,369,6,19,53,46,534,356
0,1,4,17,64,37,565,348,1,18,62,37,534,354
1,1,0,18,55,36,552,371,3,20,63,34,567,341
0,1,-0,16,52,50,542,362,3,16,61,36,503,363
0,1,1,20,49,44,557,355,-1,18,54,37,543,349
1,1,0,17,62,35,544,352,6,18,65,35,509,351
1,1,0,20,60,32,571,371,2,20,59,35,535,341
0,1,0,20,55,38,546,359,-1,20,66,31,555,342
1,1,3,20,60,41,561,364,6,18,65,34,509,351
0,1,-8,21,56,35,576,357,1,17,54,42,518,346
1,1,-4,20,58,33,572,340,6,19,53,47,535,357
1,1,1,19,56,43,550,355,-6,18,62,33,564,362
1,1,-8,19,56,35,566,370,-0,19,62,35,532,378
1,1,0,20,55,38,548,359,-9,16,64,32,572,396
1,1,-0,18,64,32,558,366,0,17,62,35,544,352
1,1,0,17,62,35,544,351,-7,18,62,33,563,362
1,1,0,18,55,36,553,369,6,18,53,47,535,358
0,1,3,20,63,33,567,339,4,17,63,37,564,346
1,1,2,20,59,36,533,343,4,19,59,34,527,369
0,1,-1,20,66,31,554,342,-1,18,54,37,542,349
1,1,-2,19,54,42,534,374,0,18,64,32,558,364
0,1,0,20,49,44,555,356,-1,18,61,33,519,359
1,1,-3,20,58,33,570,341,-2,19,54,42,535,371
0,1,3,20,63,33,568,338,-0,19,62,35,533,377
1,1,0,20,55,38,548,361,1,19,55,43,549,350
0,1,-8,19,56,35,565,370,-1,18,61,33,522,358
1,1,4,20,56,38,550,341,3,16,61,36,502,364
1,1,-0,16,52,49,542,366,5,18,65,35,510,355
1,1,1,17,54,43,519,347,4,17,63,36,564,343
0,1,4,20,59,41,559,363,0,20,60,33,570,372
0,1,1,18,62,36,533,354,0,17,62,35,543,350
1,1,-1,20,66,32,557,346,-9,16,65,33,573,400
1,1,-7,18,62,32,561,366,-0,18,64,32,557,362
0,1,0,17,62,35,543,351,0,20,49,44,556,357
0,1,6,19,53,46,532,358,2,20,58,36,533,343
0,1,-8,19,57,34,563,369,4,18,59,34,526,372
1,1,-0,18,55,38,540,350,-9,16,65,32,572,398
0,1,3,16,61,37,503,366,-8,21,56,35,579,359
1,1,-0,19,62,35,533,376,5,18,64,34,511,357
0,1,-2,19,54,42,536,374,2,17,54,42,517,347
1,1,-0,16,52,49,543,365,1,20,60,33,569,373
1,1,0,18,55,36,552,367,-3,20,58,33,569,343
1,1,1,18,63,36,537,355,5,18,59,34,528,369
1,1,4,20,56,38,554,345,4,17,63,36,563,344
1,1,1,19,55,44,551,353,0,20,49,44,553,358
1,1,0,18,62,35,532,373,3,20,59,41,561,362
0,1,1,20,56,39,548,364,0,20,60,33,572,374
0,1,2,20,62,33,567,339,-1,18,61,33,522,355
0,1,-9,16,64,32,574,400,0,17,62,35,542,352
0,1,0,17,62,35,541,351,0,18,55,38,540,350
0,1,-8,21,56,35,578,359,-8,19,57,34,561,370
1,1,6,19,53,46,532,357,-1,20,65,31,555,343
1,1,3,16,61,37,504,367,2,20,58,36,532,344
0,1,-3,20,58,33,569,342,-0,18,64,32,558,359
1,1,4,18,59,34,528,373,0,18,55,38,540,348
1,1,-7,18,62,32,560,362,0,18,55,35,553,367
1,1,2,17,54,43,520,348,2,20,62,33,567,339
1,1,4,18,64,34,513,357,-2,19,55,42,537,375
1,1,0,19,49,44,553,358,-7,21,56,35,577,357
0,1,0,18,62,35,533,372,3,20,59,41,561,364
1,1,3,16,61,37,506,367,-1,20,65,32,555,343
1,1,0,17,62,35,542,353,1,20,60,33,573,372
1,1,0,20,56,38,549,363,0,17,62,35,542,352
0,1,4,20,56,39,555,347,-4,20,58,33,571,345
0,1,1,18,63,36,537,353,-0,16,52,49,542,365
0,1,-10,16,65,32,573,399,-0,18,61,33,521,353
0,1,5,18,58,35,527,368,0,18,55,35,556,367
0,1,-0,18,64,32,558,359,0,18,55,38,540,353
1,1,2,17,54,43,519,348,-6,18,62,32,560,362
0,1,2,20,59,36,531,348,-1,20,65,32,555,344
1,1,4,17,63,37,562,348,2,20,62,33,569,340
1,1,-8,19,57,34,561,370,1,18,63,36,538,354
1,1,5,19,53,46,532,356,3,16,61,37,504,367
1,1,1,19,55,44,550,353,0,20,60,33,572,373
0,1,0,17,62,35,542,353,0,17,62,35,542,353
1,1,4,20,56,39,553,347,-3,20,58,33,570,345
1,1,0,18,62,35,533,370,0,16,52,50,541,367
0,1,4,18,64,34,514,356,0,20,56,39,548,365
0,1,-10,16,65,32,573,401,3,20,59,40,561,363
1,1,2,17,54,43,517,347,0,18,55,38,539,356
1,1,2,20,59,36,533,347,0,18,55,35,558,366
0,1,-2,19,54,41,539,372,-1,20,65,32,556,341
0,1,-2,19,55,42,539,371,-1,20,65,31,556,342
1,1,4,18,58,35,525,369,4,18,64,34,514,357
1,1,4,17,63,37,563,347,-0,16,52,49,542,365
