Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
788,MIA,2021-01-28,105,,LAC,L 105-109,240,40,90,.444,27,57,.474,13,33,.394,12,15,.800,105,36,87,.414,19,45,.422,17,42,.405,20,22,.909,109
789,DEN,2021-01-17,105,,UTA,L 105-109,240,40,100,.400,26,63,.413,14,37,.378,11,15,.733,105,39,76,.513,24,39,.615,15,37,.405,16,28,.571,109
790,SAS,2021-01-14,105,,HOU,L 105-109,240,42,92,.457,33,61,.541,9,31,.290,12,16,.750,105,42,86,.488,29,53,.547,13,33,.394,12,19,.632,109
791,MIA,2021-01-06,105,,BOS,L 105-107,240,35,81,.432,22,45,.489,13,36,.361,22,26,.846,105,42,99,.424,30,64,.469,12,35,.343,11,12,.917,107
792,ORL,2021-01-06,105,,CLE,W 105-94,240,40,81,.494,28,52,.538,12,29,.414,13,18,.722,105,36,85,.424,32,59,.542,4,26,.154,18,26,.692,94
793,SAC,2021-05-07,104,,SAS,L 104-113,240,41,84,.488,28,52,.538,13,32,.406,9,15,.600,104,46,89,.517,42,67,.627,4,22,.182,17,19,.895,113
794,MEM,2021-05-03,104,,NYK,L 104-118,240,34,86,.395,18,45,.400,16,41,.390,20,24,.833,104,45,89,.506,31,62,.500,14,27,.519,14,18,.778,118
795,LAC,2021-05-01,104,,DEN,L 104-110,240,36,83,.434,22,49,.449,14,34,.412,18,24,.750,104,39,80,.488,27,48,.563,12,32,.375,20,21,.952,110
796,CLE,2021-04-28,104,,ORL,L 104-109,240,37,92,.402,25,48,.521,12,44,.273,18,24,.750,104,43,85,.506,33,56,.589,10,29,.345,13,20,.650,109
797,CHO,2021-04-27,104,,MIL,L 104-114,240,38,82,.463,26,47,.553,12,35,.343,16,23,.696,104,47,93,.505,38,58,.655,9,35,.257,11,14,.786,114
798,HOU,2021-04-23,104,,LAC,L 104-109,240,36,89,.404,23,47,.489,13,42,.310,19,22,.864,104,39,97,.402,27,63,.429,12,34,.353,19,23,.826,109
799,LAC,2021-04-04,104,,LAL,W 104-86,240,41,86,.477,27,58,.466,14,28,.500,8,9,.889,104,32,80,.400,25,57,.439,7,23,.304,15,20,.750,86
800,WAS,2021-03-30,104,,CHO,L 104-114,240,41,100,.410,31,63,.492,10,37,.270,12,15,.800,104,42,90,.467,28,56,.500,14,34,.412,16,19,.842,114
801,WAS,2021-03-30,104,,CHO,L 104-114,240,41,100,.410,31,63,.492,10,37,.270,12,15,.800,104,42,90,.467,28,56,.500,14,34,.412,16,19,.842,114
802,SAS,2021-03-12,104,,ORL,W 104-77,240,40,89,.449,30,60,.500,10,29,.345,14,18,.778,104,29,80,.363,19,42,.452,10,38,.263,9,12,.750,77
803,LAL,2021-03-02,104,,PHO,L 104-114,240,40,79,.506,29,48,.604,11,31,.355,13,17,.765,104,38,77,.494,22,48,.458,16,29,.552,22,25,.880,114
804,MIN,2021-02-16,104,,LAL,L 104-112,240,39,93,.419,23,59,.390,16,34,.471,10,13,.769,104,42,77,.545,31,51,.608,11,26,.423,17,21,.810,112
805,OKC,2021-02-16,104,,POR,L 104-115,240,37,85,.435,27,52,.519,10,33,.303,20,27,.741,104,42,96,.438,22,49,.449,20,47,.426,11,17,.647,115
806,WAS,2021-02-14,104,,BOS,W 104-91,240,33,83,.398,26,53,.491,7,30,.233,31,36,.861,104,32,90,.356,23,55,.418,9,35,.257,18,30,.600,91
807,BRK,2021-02-10,104,,IND,W 104-94,240,32,76,.421,23,45,.511,9,31,.290,31,35,.886,104,36,92,.391,21,54,.389,15,38,.395,7,11,.636,94
808,OKC,2021-02-03,104,,HOU,W 104-87,240,36,83,.434,26,50,.520,10,33,.303,22,26,.846,104,33,86,.384,21,40,.525,12,46,.261,9,13,.692,87
809,HOU,2021-01-28,104,,POR,W 104-101,240,38,90,.422,25,43,.581,13,47,.277,15,18,.833,104,39,93,.419,22,52,.423,17,41,.415,6,8,.750,101
810,ORL,2021-01-24,104,,CHO,L 104-107,240,39,87,.448,22,49,.449,17,38,.447,9,13,.692,104,42,88,.477,28,52,.538,14,36,.389,9,16,.563,107
811,GSW,2021-01-21,104,,NYK,L 104-119,240,33,86,.384,24,48,.500,9,38,.237,29,39,.744,104,38,82,.463,27,58,.466,11,24,.458,32,41,.780,119
812,POR,2021-01-18,104,,SAS,L 104-125,240,39,90,.433,29,55,.527,10,35,.286,16,19,.842,104,48,90,.533,33,57,.579,15,33,.455,14,16,.875,125
813,CHI,2020-12-23,104,,ATL,L 104-124,240,36,87,.414,28,52,.538,8,35,.229,24,28,.857,104,43,80,.538,29,45,.644,14,35,.400,24,29,.828,124
814,SAS,2021-05-15,103,,PHO,L 103-140,240,39,88,.443,35,62,.565,4,26,.154,21,24,.875,103,52,94,.553,37,61,.607,15,33,.455,21,22,.955,140
815,MIN,2021-05-13,103,,DEN,L 103-114,240,34,80,.425,18,39,.462,16,41,.390,19,32,.594,103,46,96,.479,34,60,.567,12,36,.333,10,11,.909,114
816,IND,2021-05-11,103,,PHI,W 103-94,240,37,83,.446,23,42,.548,14,41,.341,15,16,.938,103,38,87,.437,30,61,.492,8,26,.308,10,14,.714,94
817,TOR,2021-04-27,103,,BRK,L 103-116,240,36,91,.396,21,48,.438,15,43,.349,16,19,.842,103,40,83,.482,22,38,.579,18,45,.400,18,18,1.000,116
818,GSW,2021-04-27,103,,DAL,L 103-133,240,34,84,.405,18,41,.439,16,43,.372,19,24,.792,103,48,92,.522,30,57,.526,18,35,.514,19,22,.864,133
819,ORL,2021-04-26,103,,LAL,L 103-114,240,36,76,.474,25,51,.490,11,25,.440,20,24,.833,103,47,87,.540,36,56,.643,11,31,.355,9,14,.643,114
820,TOR,2021-04-13,103,,ATL,L 103-108,240,42,88,.477,32,49,.653,10,39,.256,9,13,.692,103,40,84,.476,27,54,.500,13,30,.433,15,22,.682,108
821,TOR,2021-04-05,103,,WAS,W 103-101,240,44,94,.468,37,61,.607,7,33,.212,8,11,.727,103,37,94,.394,25,59,.424,12,35,.343,15,18,.833,101
822,NOP,2021-04-02,103,,ATL,L 103-126,240,38,88,.432,30,59,.508,8,29,.276,19,23,.826,103,49,87,.563,36,58,.621,13,29,.448,15,21,.714,126
823,MIN,2021-03-22,103,,OKC,L 103-112,240,38,92,.413,24,53,.453,14,39,.359,13,18,.722,103,41,87,.471,20,50,.400,21,37,.568,9,10,.900,112
824,MEM,2021-03-19,103,,GSW,L 103-116,240,39,84,.464,31,58,.534,8,26,.308,17,21,.810,103,44,91,.484,29,50,.580,15,41,.366,13,18,.722,116
825,DEN,2021-03-13,103,,DAL,L 103-116,240,37,90,.411,21,49,.429,16,41,.390,13,18,.722,103,42,86,.488,24,40,.600,18,46,.391,14,16,.875,116
826,IND,2021-03-04,103,,DEN,L 103-113,240,41,90,.456,27,51,.529,14,39,.359,7,12,.583,103,45,77,.584,33,49,.673,12,28,.429,11,16,.688,113
827,NYK,2021-02-21,103,,MIN,W 103-99,240,33,78,.423,27,60,.450,6,18,.333,31,38,.816,103,33,82,.402,17,47,.362,16,35,.457,17,21,.810,99
828,CLE,2021-02-19,103,,DEN,L 103-120,240,39,83,.470,27,52,.519,12,31,.387,13,21,.619,103,46,80,.575,31,49,.633,15,31,.484,13,17,.765,120
829,NYK,2021-02-07,103,,MIA,L 103-109,240,38,85,.447,22,43,.512,16,42,.381,11,15,.733,103,40,83,.482,27,48,.563,13,35,.371,16,20,.800,109
830,OKC,2021-02-05,103,,MIN,L 103-106,240,39,85,.459,26,51,.510,13,34,.382,12,17,.706,103,41,94,.436,25,54,.463,16,40,.400,8,9,.889,106
