Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
10101,Norman Powell,22,2020-08-05,27-072,TOR,@,ORL,W 109-99,,22,5,10,.500,2,4,.500,3,6,.500,1,1,1.000,.670,0,2,2,0,0,0,0,1,14,9.2,4.8,4,G,powelno01
10102,Taurean Prince,22,2020-01-25,25-309,BRK,@,DET,W 121-111 (OT),*,22,2,7,.286,0,1,.000,2,6,.333,0,0,,.429,0,4,4,2,0,0,0,1,6,4.1,-0.9,8,F,princta02
10103,Cam Reddish,22,2019-11-08,20-068,ATL,,SAC,L 109-121,*,22,3,8,.375,2,6,.333,1,2,.500,0,0,,.438,0,1,1,1,1,1,1,2,7,3.5,-8.1,-16,F,reddica01
10104,Cam Reddish,22,2019-11-27,20-087,ATL,@,MIL,L 102-111,*,22,2,5,.400,1,1,1.000,1,4,.250,1,2,.500,.510,0,1,1,1,0,0,0,1,6,3.5,-2.7,-6,F,reddica01
10105,Cam Reddish,22,2020-02-24,20-176,ATL,@,PHI,L 112-129,,22,4,10,.400,4,6,.667,0,4,.000,2,2,1.000,.460,1,0,1,0,0,0,2,4,10,1.7,-12.2,-10,F,reddica01
10106,JJ Redick,22,2019-10-25,35-123,NOP,,DAL,L 116-123,*,22,1,3,.333,0,1,.000,1,2,.500,0,0,,.500,0,0,0,2,0,0,2,0,3,0.7,-9.4,-2,G,redicjj01
10107,JJ Redick,22,2019-12-25,35-184,NOP,@,DEN,W 112-100,*,22,5,10,.500,3,3,1.000,2,7,.286,3,3,1.000,.663,1,2,3,0,0,0,3,1,15,7.9,-4.1,4,G,redicjj01
10108,JJ Redick,22,2020-01-20,35-210,NOP,@,MEM,W 126-116,*,22,3,9,.333,1,2,.500,2,7,.286,2,2,1.000,.506,0,2,2,0,0,0,1,2,10,3.7,-10.2,9,G,redicjj01
10109,JJ Redick,22,2020-01-22,35-212,NOP,,SAS,L 117-121,,22,3,5,.600,2,2,1.000,1,3,.333,3,3,1.000,.791,0,0,0,1,0,0,1,1,10,7.0,-2.2,-4,G,redicjj01
10110,JJ Redick,22,2020-02-04,35-225,NOP,,MIL,L 108-120,,22,5,10,.500,3,5,.600,2,5,.400,1,2,.500,.597,0,1,1,2,1,0,1,1,13,8.9,3.3,1,G,redicjj01
10111,JJ Redick,22,2020-08-06,36-043,NOP,@,SAC,L 125-140,,22,6,11,.545,1,1,1.000,5,10,.500,1,2,.500,.758,0,0,0,1,0,1,1,3,18,11.5,3.1,-15,G,redicjj01
10112,Naz Reid,22,2020-02-12,20-170,MIN,,CHO,L 108-115,,22,4,7,.571,4,5,.800,0,2,.000,4,4,1.000,.685,1,5,6,0,1,1,0,5,12,10.6,-0.7,0,F,reidna01
10113,Naz Reid,22,2020-02-23,20-181,MIN,@,DEN,L 116-128,*,22,5,12,.417,4,8,.500,1,4,.250,2,3,.667,.488,1,4,5,1,1,0,2,5,13,5.8,-8.6,2,F,reidna01
10114,Austin Rivers,22,2020-02-29,27-212,HOU,@,BOS,W 111-110 (OT),,22,2,6,.333,2,2,1.000,0,4,.000,1,1,1.000,.388,1,0,1,1,1,0,0,0,5,4.0,-2.9,-4,G,riverau01
10115,Austin Rivers,22,2019-12-19,27-140,HOU,@,LAC,W 122-117,,22,4,7,.571,2,3,.667,2,4,.500,0,0,,.714,0,2,2,0,0,0,0,2,10,6.5,0.4,-1,G,riverau01
