Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
84,DEN,2023-11-04,123,,CHI,W 123-101,240,42,81,0.519,26,45,0.578,16,36,0.444,23,30,0.767,123,39,86,0.453,32,60,0.533,7,26,0.269,16,23,0.696,101
85,NOP,2023-11-04,105,,ATL,L 105-123,240,40,84,0.476,32,53,0.604,8,31,0.258,17,21,0.81,105,45,93,0.484,31,52,0.596,14,41,0.341,19,24,0.792,123
86,BRK,2023-11-04,114,,BOS,L 114-124,240,43,100,0.43,26,48,0.542,17,52,0.327,11,17,0.647,114,43,90,0.478,28,45,0.622,15,45,0.333,23,27,0.852,124
87,DAL,2023-11-05,124,,CHO,W 124-118,240,43,91,0.473,29,49,0.592,14,42,0.333,24,32,0.75,124,49,99,0.495,41,69,0.594,8,30,0.267,12,21,0.571,118
88,SAS,2023-11-05,116,,TOR,L 116-123 (OT),265,48,96,0.5,38,64,0.594,10,32,0.313,10,13,0.769,116,44,97,0.454,25,49,0.51,19,48,0.396,16,26,0.615,123
89,DET,2023-11-05,106,,PHO,L 106-120,240,43,87,0.494,35,64,0.547,8,23,0.348,12,14,0.857,106,43,86,0.5,35,65,0.538,8,21,0.381,26,29,0.897,120
90,POR,2023-11-05,100,,MEM,L 100-112,240,37,95,0.389,23,50,0.46,14,45,0.311,12,15,0.8,100,45,89,0.506,32,57,0.561,13,32,0.406,9,13,0.692,112
91,CLE,2023-11-05,115,,GSW,W 115-104,240,41,83,0.494,30,46,0.652,11,37,0.297,22,28,0.786,115,34,94,0.362,18,53,0.34,16,41,0.39,20,30,0.667,104
92,NYK,2023-11-06,111,,LAC,W 111-97,240,41,88,0.466,29,57,0.509,12,31,0.387,17,18,0.944,111,36,73,0.493,25,41,0.61,11,32,0.344,14,16,0.875,97
93,MIN,2023-11-06,114,,BOS,W 114-109 (OT),265,44,85,0.518,31,48,0.646,13,37,0.351,13,25,0.52,114,36,92,0.391,25,53,0.472,11,39,0.282,26,34,0.765,109
94,PHI,2023-11-06,146,,WAS,W 146-128,240,51,91,0.56,39,60,0.65,12,31,0.387,32,36,0.889,146,49,96,0.51,35,62,0.565,14,34,0.412,16,20,0.8,128
95,IND,2023-11-06,152,,SAS,W 152-111,240,55,95,0.579,35,57,0.614,20,38,0.526,22,23,0.957,152,40,94,0.426,32,68,0.471,8,26,0.308,23,30,0.767,111
96,DEN,2023-11-06,134,,NOP,W 134-116,240,51,95,0.537,36,56,0.643,15,39,0.385,17,23,0.739,134,45,90,0.5,32,60,0.533,13,30,0.433,13,15,0.867,116
97,OKC,2023-11-06,126,,ATL,W 126-117,240,45,94,0.479,31,59,0.525,14,35,0.4,22,23,0.957,126,38,102,0.373,24,60,0.4,14,42,0.333,27,32,0.844,117
98,ORL,2023-11-06,102,,DAL,L 102-117,240,40,85,0.471,32,58,0.552,8,27,0.296,14,18,0.778,102,41,82,0.5,26,42,0.619,15,40,0.375,20,28,0.714,117
99,CHI,2023-11-06,130,,UTA,W 130-113,240,48,93,0.516,30,59,0.508,18,34,0.529,16,19,0.842,130,41,86,0.477,25,43,0.581,16,43,0.372,15,17,0.882,113
100,HOU,2023-11-06,122,,SAC,W 122-97,240,43,75,0.573,28,44,0.636,15,31,0.484,21,27,0.778,122,36,81,0.444,22,41,0.537,14,40,0.35,11,20,0.55,97
101,BRK,2023-11-06,125,,MIL,L 125-129,240,49,101,0.485,33,56,0.589,16,45,0.356,11,13,0.846,125,46,96,0.479,30,48,0.625,16,48,0.333,21,24,0.875,129
102,DET,2023-11-06,109,,GSW,L 109-120,240,38,80,0.475,25,50,0.5,13,30,0.433,20,21,0.952,109,46,97,0.474,34,56,0.607,12,41,0.293,16,21,0.762,120
103,MIA,2023-11-06,108,,LAL,W 108-107,240,41,88,0.466,29,51,0.569,12,37,0.324,14,16,0.875,108,44,81,0.543,36,55,0.655,8,26,0.308,11,14,0.786,107
104,DEN,2023-11-08,108,,GSW,W 108-105,240,41,92,0.446,30,57,0.526,11,35,0.314,15,22,0.682,108,37,86,0.43,26,51,0.51,11,35,0.314,20,26,0.769,105
105,PHI,2023-11-08,106,,BOS,W 106-103,240,42,95,0.442,33,61,0.541,9,34,0.265,13,15,0.867,106,36,91,0.396,21,44,0.477,15,47,0.319,16,19,0.842,103
106,MEM,2023-11-08,102,,MIA,L 102-108,240,35,90,0.389,24,53,0.453,11,37,0.297,21,28,0.75,102,35,77,0.455,24,49,0.49,11,28,0.393,27,32,0.844,108
107,MIL,2023-11-08,120,,DET,W 120-118,240,41,90,0.456,30,53,0.566,11,37,0.297,27,32,0.844,120,48,98,0.49,41,69,0.594,7,29,0.241,15,16,0.938,118
108,CHI,2023-11-08,115,,PHO,L 115-116 (OT),265,42,96,0.438,28,63,0.444,14,33,0.424,17,23,0.739,115,38,90,0.422,19,42,0.452,19,48,0.396,21,25,0.84,116
109,NYK,2023-11-08,126,,SAS,W 126-105,240,46,100,0.46,27,58,0.466,19,42,0.452,15,22,0.682,126,44,90,0.489,35,56,0.625,9,34,0.265,8,13,0.615,105
