Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1182,DAL,2021-12-04,90,,MEM,L 90-97,240,31,92,.337,16,49,.327,15,43,.349,13,19,.684,90,37,76,.487,28,50,.560,9,26,.346,14,24,.583,97
1183,LAC,2021-11-28,90,,GSW,L 90-105,240,32,80,.400,23,52,.442,9,28,.321,17,25,.680,90,38,86,.442,21,46,.457,17,40,.425,12,22,.545,105
1184,ATL,2021-11-27,90,,NYK,L 90-99,240,33,93,.355,24,56,.429,9,37,.243,15,20,.750,90,36,82,.439,25,53,.472,11,29,.379,16,22,.727,99
1185,OKC,2021-11-15,90,,MIA,L 90-103,240,34,83,.410,19,42,.452,15,41,.366,7,10,.700,90,37,82,.451,19,42,.452,18,40,.450,11,13,.846,103
1186,LAC,2021-11-14,90,,CHI,L 90-100,240,29,81,.358,18,47,.383,11,34,.324,21,21,1.000,90,38,86,.442,27,57,.474,11,29,.379,13,14,.929,100
1187,ORL,2021-11-10,90,,BRK,L 90-123,240,35,92,.380,31,59,.525,4,33,.121,16,24,.667,90,46,91,.505,30,54,.556,16,37,.432,15,17,.882,123
1188,DET,2021-11-05,90,,BRK,L 90-96,240,33,87,.379,22,53,.415,11,34,.324,13,18,.722,90,36,80,.450,25,53,.472,11,27,.407,13,14,.929,96
1189,ORL,2022-04-01,89,,TOR,L 89-102,240,34,79,.430,23,44,.523,11,35,.314,10,11,.909,89,36,86,.419,23,44,.523,13,42,.310,17,20,.850,102
1190,SAC,2021-12-22,89,,LAC,L 89-105,240,34,85,.400,22,47,.468,12,38,.316,9,12,.750,89,42,82,.512,35,58,.603,7,24,.292,14,16,.875,105
1191,SAC,2021-11-19,89,,TOR,L 89-108,240,32,84,.381,23,47,.489,9,37,.243,16,25,.640,89,38,84,.452,26,53,.491,12,31,.387,20,24,.833,108
1192,DEN,2021-11-18,89,,PHI,L 89-103,240,32,89,.360,20,53,.377,12,36,.333,13,16,.813,89,43,85,.506,32,56,.571,11,29,.379,6,12,.500,103
1193,CLE,2021-11-18,89,,GSW,L 89-104,240,34,80,.425,22,41,.537,12,39,.308,9,16,.563,89,41,83,.494,26,40,.650,15,43,.349,7,8,.875,104
1194,HOU,2021-11-14,89,,PHO,L 89-115,240,35,85,.412,28,53,.528,7,32,.219,12,18,.667,89,42,97,.433,28,57,.491,14,40,.350,17,20,.850,115
1195,ORL,2021-11-05,89,,SAS,L 89-102,240,35,89,.393,23,48,.479,12,41,.293,7,10,.700,89,40,90,.444,34,71,.479,6,19,.316,16,18,.889,102
1196,DET,2021-11-02,89,,MIL,L 89-117,240,30,93,.323,22,46,.478,8,47,.170,21,30,.700,89,42,84,.500,25,47,.532,17,37,.459,16,21,.762,117
1197,ORL,2022-04-03,88,,NYK,L 88-118,240,30,85,.353,18,41,.439,12,44,.273,16,27,.593,88,45,93,.484,30,49,.612,15,44,.341,13,16,.813,118
1198,PHI,2022-03-20,88,,TOR,L 88-93,240,30,73,.411,23,46,.500,7,27,.259,21,28,.750,88,35,93,.376,28,67,.418,7,26,.269,16,23,.696,93
1199,GSW,2022-03-16,88,,BOS,L 88-110,240,32,86,.372,21,38,.553,11,48,.229,13,16,.813,88,38,81,.469,23,41,.561,15,40,.375,19,22,.864,110
1200,ORL,2022-01-17,88,,POR,L 88-98,240,34,90,.378,26,58,.448,8,32,.250,12,20,.600,88,37,90,.411,30,56,.536,7,34,.206,17,18,.944,98
1201,MIN,2021-12-28,88,,NYK,L 88-96,240,34,85,.400,27,47,.574,7,38,.184,13,20,.650,88,37,90,.411,21,50,.420,16,40,.400,6,16,.375,96
1202,BOS,2021-12-01,88,,PHI,W 88-87,240,33,79,.418,22,51,.431,11,28,.393,11,15,.733,88,33,89,.371,25,58,.431,8,31,.258,13,17,.765,87
1203,ORL,2021-11-26,88,,CHI,L 88-123,240,30,80,.375,23,48,.479,7,32,.219,21,30,.700,88,48,86,.558,31,52,.596,17,34,.500,10,16,.625,123
1204,DET,2021-10-20,88,,CHI,L 88-94,240,36,90,.400,30,62,.484,6,28,.214,10,13,.769,88,37,86,.430,30,63,.476,7,23,.304,13,15,.867,94
1205,PHI,2022-02-15,87,,BOS,L 87-135,240,23,80,.288,15,48,.313,8,32,.250,33,39,.846,87,46,82,.561,21,37,.568,25,45,.556,18,22,.818,135
1206,WAS,2022-01-23,87,,BOS,L 87-116,240,33,93,.355,25,59,.424,8,34,.235,13,16,.813,87,40,90,.444,21,51,.412,19,39,.487,17,21,.810,116
1207,NYK,2022-01-17,87,,CHO,L 87-97,240,32,80,.400,20,46,.435,12,34,.353,11,21,.524,87,36,86,.419,22,47,.468,14,39,.359,11,17,.647,97
1208,LAC,2022-01-11,87,,DEN,W 87-85,240,34,84,.405,24,50,.480,10,34,.294,9,12,.750,87,32,80,.400,28,47,.596,4,33,.121,17,20,.850,85
1209,DEN,2021-10-25,87,,CLE,L 87-99,240,35,86,.407,26,48,.542,9,38,.237,8,12,.667,87,38,82,.463,31,57,.544,7,25,.280,16,20,.800,99
1210,CHO,2022-02-05,86,,MIA,L 86-104,240,33,86,.384,23,50,.460,10,36,.278,10,16,.625,86,38,91,.418,27,59,.458,11,32,.344,17,18,.944,104
1211,OKC,2022-01-02,86,,DAL,L 86-95,240,35,85,.412,25,55,.455,10,30,.333,6,9,.667,86,38,85,.447,24,46,.522,14,39,.359,5,7,.714,95
1212,GSW,2021-12-28,86,,DEN,L 86-89,240,30,72,.417,20,40,.500,10,32,.313,16,31,.516,86,34,83,.410,26,50,.520,8,33,.242,13,20,.650,89
1213,MEM,2022-01-14,85,,DAL,L 85-112,240,34,89,.382,27,58,.466,7,31,.226,10,13,.769,85,47,91,.516,39,59,.661,8,32,.250,10,16,.625,112
1214,DET,2021-12-29,85,,NYK,L 85-94,240,30,81,.370,18,46,.391,12,35,.343,13,17,.765,85,31,81,.383,23,50,.460,8,31,.258,24,27,.889,94
1215,MIA,2021-12-01,85,,CLE,L 85-111,240,32,85,.376,20,48,.417,12,37,.324,9,13,.692,85,37,68,.544,21,37,.568,16,31,.516,21,23,.913,111
1216,OKC,2021-12-12,84,,DAL,L 84-103,240,30,80,.375,17,43,.395,13,37,.351,11,16,.688,84,38,90,.422,29,57,.509,9,33,.273,18,23,.783,103
1217,MIN,2021-11-05,84,,LAC,L 84-104,240,31,89,.348,14,37,.378,17,52,.327,5,7,.714,84,36,88,.409,30,60,.500,6,28,.214,26,32,.813,104
